iter	Logloss
0	0.6420069957
1	0.607281064
2	0.571395618
3	0.5407730205
4	0.5224045107
5	0.4996565236
6	0.4876548204
7	0.4783414802
8	0.4703978468
9	0.4604072315
10	0.4537001744
11	0.4457794804
12	0.4414150059
13	0.43879925
14	0.4336034788
15	0.4281360191
16	0.4244894245
17	0.4220492472
18	0.4192555575
19	0.4162694944
20	0.4155764996
21	0.4133140257
22	0.4120328762
23	0.4110733135
24	0.4097252148
25	0.4083952424
26	0.4070894382
27	0.4055731857
28	0.4047872812
29	0.4037362681
30	0.4027504121
31	0.4020925432
32	0.4007407579
33	0.3983969464
34	0.3976776328
35	0.3970561188
36	0.3965316363
37	0.3963123808
38	0.3953289314
39	0.3946245181
40	0.393925814
41	0.393237914
42	0.3917071963
43	0.3902611957
44	0.3896554268
45	0.3883602219
46	0.387917845
47	0.3876711698
48	0.3871661705
49	0.3852673729
50	0.3835168621
51	0.3823684078
52	0.381488416
53	0.3807844636
54	0.3804056564
55	0.3792310625
56	0.3778286108
57	0.3766147434
58	0.3764408803
59	0.3760465584
60	0.3755764033
61	0.3751741448
62	0.3747534272
63	0.3745200138
64	0.3730685343
65	0.3718792192
66	0.3704712119
67	0.3699419418
68	0.3687961758
69	0.368485854
70	0.3677358179
71	0.3673625152
72	0.3670966897
73	0.3659870225
74	0.3655120286
75	0.3651097957
76	0.3646699534
77	0.3639040953
78	0.363081196
79	0.3615891629
80	0.3600326128
81	0.3580798975
82	0.3577747729
83	0.3566902724
84	0.3551157497
85	0.3546569107
86	0.3534576365
87	0.3515334417
88	0.3495589647
89	0.3489504052
90	0.3483512418
91	0.3477312382
92	0.3464616609
93	0.3453781845
94	0.344835243
95	0.3439531262
96	0.3425976542
97	0.3423806517
98	0.341940451
99	0.3407524672
