,open,high,low,close,adjclose,volume,ticker
2017-01-30,354.0,355.95001220703125,348.1000061035156,351.29998779296875,341.4033203125,812733.0,ICICIPRULI.NS
2017-01-31,349.0,349.5,338.0,345.3999938964844,335.66961669921875,1209329.0,ICICIPRULI.NS
2017-02-01,342.5,359.8999938964844,342.5,358.95001220703125,348.8379211425781,1719603.0,ICICIPRULI.NS
2017-02-02,358.79998779296875,360.0,355.5,359.29998779296875,349.17803955078125,1097980.0,ICICIPRULI.NS
2017-02-03,359.29998779296875,362.0,356.70001220703125,360.1499938964844,350.00408935546875,896563.0,ICICIPRULI.NS
2017-02-06,357.5,368.75,357.5,367.45001220703125,357.0984191894531,1838252.0,ICICIPRULI.NS
2017-02-07,366.0,367.20001220703125,361.0,363.6000061035156,353.3569030761719,608870.0,ICICIPRULI.NS
2017-02-08,363.0,365.0,356.25,358.1499938964844,348.06036376953125,1761889.0,ICICIPRULI.NS
2017-02-09,357.54998779296875,360.79998779296875,352.1000061035156,356.45001220703125,346.4083557128906,516261.0,ICICIPRULI.NS
2017-02-10,357.79998779296875,362.1499938964844,348.1499938964844,350.20001220703125,340.3343811035156,1036168.0,ICICIPRULI.NS
2017-02-13,352.95001220703125,355.0,348.79998779296875,351.3999938964844,341.5005798339844,339348.0,ICICIPRULI.NS
2017-02-14,351.3999938964844,358.3999938964844,351.3999938964844,357.3999938964844,347.33154296875,504941.0,ICICIPRULI.NS
2017-02-15,356.0,357.0,347.20001220703125,349.1499938964844,339.31396484375,242565.0,ICICIPRULI.NS
2017-02-16,348.54998779296875,360.0,348.54998779296875,358.79998779296875,348.69207763671875,500182.0,ICICIPRULI.NS
2017-02-17,360.0,365.29998779296875,355.0,362.8999938964844,352.6766357421875,1026944.0,ICICIPRULI.NS
2017-02-20,362.0,362.79998779296875,357.20001220703125,358.45001220703125,348.3519592285156,221447.0,ICICIPRULI.NS
2017-02-21,358.0,363.0,355.54998779296875,356.79998779296875,346.7484436035156,269628.0,ICICIPRULI.NS
2017-02-22,358.0,358.1000061035156,350.0,351.79998779296875,341.8893127441406,301117.0,ICICIPRULI.NS
2017-02-23,353.8999938964844,360.3999938964844,351.8500061035156,357.8500061035156,347.7688903808594,446372.0,ICICIPRULI.NS
2017-02-27,358.75,364.0,357.04998779296875,362.5,352.2878723144531,1025217.0,ICICIPRULI.NS
2017-02-28,362.95001220703125,365.0,358.1499938964844,361.3500061035156,351.1702575683594,534927.0,ICICIPRULI.NS
